date and time, temperature, pump cooler freq, concentration, light intensity
2023-06-20 12:21:43, 15.75304, 1, 18237.42, 1584.64
2023-06-20 12:21:53, 15.7619, 1, 18234.56, 1579.86
2023-06-20 12:22:03, 16.10353, 1, 17305.36, 1585.8
2023-06-20 12:22:13, 15.94285, 1, 16487.09, 1583.0
2023-06-20 12:22:23, 16.00309, 1, 17820.08, 1589.41
2023-06-20 12:22:33, 15.94286, 1, 17176.09, 1584.94
2023-06-20 12:22:43, 16.05486, 1, 18571.57, 1586.26
2023-06-20 12:22:53, 16.13063, 1, 16799.86, 1581.63
2023-06-20 12:23:03, 15.97727, 1, 16848.68, 1585.64
2023-06-20 12:23:13, 16.02028, 1, 16429.73, 1580.85
2023-06-20 12:23:23, 16.03413, 1, 17066.92, 1589.7
2023-06-20 12:23:33, 15.70137, 1, 18320.93, 1587.72
2023-06-20 12:23:43, 15.79627, 1, 17078.43, 1587.77
2023-06-20 12:23:53, 15.94284, 1, 18007.11, 1581.33
2023-06-20 12:24:03, 16.1048, 1, 18588.88, 1584.76
2023-06-20 12:24:13, 16.00309, 1, 16929.07, 1588.76
2023-06-20 12:24:23, 15.95116, 1, 18335.36, 1588.44
2023-06-20 12:24:33, 16.14098, 1, 17710.75, 1580.52
2023-06-20 12:24:43, 15.85667, 1, 18689.77, 1584.2
2023-06-20 12:24:53, 16.22184, 1, 17382.98, 1580.92
2023-06-20 12:25:03, 15.94284, 1, 17811.44, 1588.1
2023-06-20 12:25:13, 16.03761, 1, 17483.57, 1579.53
2023-06-20 12:25:23, 16.05483, 1, 15716.1, 1583.12
2023-06-20 12:25:33, 15.96321, 1, 19442.72, 1582.54
2023-06-20 12:25:43, 16.02895, 1, 18087.74, 1582.34
2023-06-20 12:25:53, 16.35103, 1, 17170.32, 1589.33
2023-06-20 12:26:03, 16.05484, 1, 18369.91, 1579.43
2023-06-20 12:26:13, 16.2183, 1, 18081.96, 1580.7
2023-06-20 12:26:23, 16.19608, 1, 16515.79, 1585.88
2023-06-20 12:26:33, 16.2529, 1, 16191.72, 1586.48
2023-06-20 12:26:43, 16.11514, 1, 19064.67, 1584.82
2023-06-20 12:26:53, 15.86515, 1, 17736.64, 1580.22
2023-06-20 12:27:03, 16.17882, 1, 17659.02, 1581.5
2023-06-20 12:27:13, 16.12371, 1, 16937.7, 1582.69
2023-06-20 12:27:23, 16.2598, 1, 16598.98, 1584.46
2023-06-20 12:27:33, 16.20631, 1, 18320.93, 1579.33
2023-06-20 12:27:43, 16.03411, 1, 17938.05, 1582.5
2023-06-20 12:27:53, 16.13061, 1, 17405.98, 1587.95
2023-06-20 12:28:03, 16.27874, 1, 17328.39, 1584.04
2023-06-20 12:28:13, 15.99455, 1, 18263.36, 1582.9
2023-06-20 12:28:23, 16.00139, 1, 18027.26, 1586.21
2023-06-20 12:28:33, 16.24587, 1, 16561.69, 1585.19
2023-06-20 12:28:43, 16.00142, 1, 18344.01, 1578.61
2023-06-20 12:28:53, 16.22351, 1, 18410.27, 1583.55
2023-06-20 12:29:03, 16.08584, 1, 19243.54, 1581.51
2023-06-20 12:29:13, 16.05112, 1, 16980.76, 1580.1
2023-06-20 12:29:23, 16.27014, 1, 17863.23, 1581.65
2023-06-20 12:29:33, 16.27872, 1, 20153.53, 1582.57
2023-06-20 12:29:43, 16.00992, 1, 18640.75, 1579.59
